164|13|43|0|130,1446729555.4
164|13|43|0|130,1446729555.85
164|13|43|0|130,1446729556.3
164|13|43|0|130,1446729556.75
164|13|43|0|130,1446729557.21
164|13|43|0|130,1446729557.66
164|13|43|0|130,1446729558.11
164|13|43|0|130,1446729558.56
164|13|43|0|130,1446729559.01
164|13|43|0|130,1446729559.47
164|13|43|0|130,1446729559.92
164|13|43|0|130,1446729560.37
164|13|43|0|130,1446729560.83
164|13|43|0|130,1446729561.28
164|13|43|0|130,1446729561.73
164|13|43|0|130,1446729562.18
164|13|43|0|130,1446729562.64
167|202|50|59|100,1446729565.14
167|202|50|59|100,1446729565.59
167|202|50|59|100,1446729566.05
167|202|50|59|100,1446729566.5
167|202|50|59|100,1446729566.96
167|202|50|59|100,1446729567.41
167|202|50|59|100,1446729567.87
167|202|50|59|100,1446729568.32
167|202|50|59|100,1446729568.77
167|202|50|59|100,1446729569.23
167|202|50|59|100,1446729569.68
167|202|50|59|100,1446729570.14
167|202|50|59|100,1446729570.59
167|202|50|59|100,1446729571.04
167|202|50|59|100,1446729571.5
167|202|50|59|100,1446729571.95
167|202|50|59|100,1446729572.41
167|202|50|59|100,1446729572.86
167|202|50|59|100,1446729573.32
167|202|50|59|100,1446729573.77
167|202|50|59|100,1446729574.23
167|202|50|59|100,1446729574.68
167|202|50|59|100,1446729575.13
167|202|50|59|100,1446729575.59
167|202|50|59|100,1446729576.04
167|202|50|59|100,1446729576.5
164|13|43|0|130,1446729576.61
,1446729578.19
164|13|43|0|130,1446729585.68
164|13|43|0|130,1446729586.25
164|13|43|0|130,1446729586.7
164|13|43|0|130,1446729587.15
164|13|43|0|130,1446729587.6
164|13|43|0|130,1446729588.05
164|13|43|0|130,1446729588.5
164|13|43|0|130,1446729588.95
164|13|43|0|130,1446729589.4
164|13|43|0|130,1446729589.86
164|13|43|0|130,1446729590.07
164|13|43|0|130,1446729590.52
164|13|43|0|130,1446729590.98
164|13|43|0|130,1446729591.43
4,1446729591.89
167|202|50|59|100,1446729902.79
167|202|50|59|100,1446729903.26
167|202|50|59|100,1446729904.1
167|202|50|59|100,1446729904.93
180|183|142|185|52,1446729909.89
180|183|142|185|52,1446729929.32
164|13|43|0|130,1446729935.79
164|13|43|0|130,1446729936.87
167|202|50|59|100,1446729939.88
167|202|50|59|100,1446729940.48
167|202|50|59|100,1446729940.83
167|202|50|59|100,1446729941.17
167|202|50|59|100,1446729941.52
167|202|50|59|100,1446729942.11
167|202|50|59|100,1446729942.46
167|202|50|59|100,1446729942.82
167|202|50|59|100,1446729943.17
164|13|43|0|130,1446729951.05
164|13|43|0|130,1446729951.65
164|13|43|0|130,1446729952.0
164|13|43|0|130,1446729952.36
164|13|43|0|130,1446729952.71
164|13|43|0|130,1446729953.06
164|13|43|0|130,1446729953.42
164|13|43|0|130,1446729953.77
164|13|43|0|130,1446729954.12
167|202|50|59|100,1446729954.24
164|13|43|0|130,1446729954.35
167|202|50|59|100,1446729954.46
164|13|43|0|130,1446729954.57
167|202|50|59|100,1446729954.68
164|13|43|0|130,1446729954.79
167|202|50|59|100,1446729954.91
164|13|43|0|130,1446729955.02
164|13|43|0|130,1446729955.37
167|202|50|59|100,1446729955.48
164|13|43|0|130,1446729955.59
167|202|50|59|100,1446729955.7
164|13|43|0|130,1446729955.82
164|13|43|0|130,1446729956.17
167|202|50|59|100,1446729956.28
164|13|43|0|130,1446729956.39
164|13|43|0|130,1446729956.51
167|202|50|59|100,1446729956.62
164|13|43|0|130,1446729956.73
167|202|50|59|100,1446729956.84
164|13|43|0|130,1446729956.95
167|202|50|59|100,1446729957.07
164|13|43|0|130,1446729957.18
167|202|50|59|100,1446729957.29
164|13|43|0|130,1446729957.4
167|202|50|59|100,1446729957.51
164|13|43|0|130,1446729957.62
167|202|50|59|100,1446729957.73
164|13|43|0|130,1446729957.85
167|202|50|59|100,1446729957.96
164|13|43|0|130,1446729958.07
164|13|43|0|130,1446729958.67
167|202|50|59|100,1446729958.78
164|13|43|0|130,1446729958.89
167|202|50|59|100,1446729959.0
164|13|43|0|130,1446729959.11
167|202|50|59|100,1446729959.23
164|13|43|0|130,1446729959.34
167|202|50|59|100,1446729960.91
167|202|50|59|100,1446729961.26
167|202|50|59|100,1446729961.86
167|202|50|59|100,1446729962.21
167|202|50|59|100,1446729962.57
167|202|50|59|100,1446729962.92
167|202|50|59|100,1446729964.0
167|202|50|59|100,1446729964.35
167|202|50|59|100,1446729964.72
167|202|50|59|100,1446729965.1
167|202|50|59|100,1446729966.42
167|202|50|59|100,1446729966.78
167|202|50|59|100,1446729967.13
167|202|50|59|100,1446729967.48
167|202|50|59|100,1446729967.84
167|202|50|59|100,1446729968.19
167|202|50|59|100,1446729968.54
164|13|43|0|130,1446729968.66
167|202|50|59|100,1446729968.77
164|13|43|0|130,1446729968.88
164|13|43|0|130,1446729969.23
164|13|43|0|130,1446729969.58
,1446729969.94
167|202|50|59|100,1446730066.92
167|202|50|59|100,1446730071.25
167|202|50|59|100,1446730071.61
164|13|43|0|130,1446730071.96
164|13|43|0|130,1446730072.31
167|202|50|59|100,1446730072.67
,1446730073.02
164|13|43|0|130,1446730073.37
164|13|43|0|130,1446730073.72
164|13|43|0|130,1446730074.07
164|13|43|0|130,1446730074.42
164|13|43|0|130,1446730074.77
164|13|43|0|130,1446730075.12
164|13|43|0|130,1446730075.48
164|13|43|0|130,1446730075.83
164|13|43|0|130,1446730076.18
164|13|43|0|130,1446730076.53
164|13|43|0|130,1446730076.89
164|13|43|0|130,1446730077.23
164|13|43|0|130,1446730077.59
164|13|43|0|130,1446730077.94
164|13|43|0|130,1446730078.29
164|13|43|0|130,1446730078.65
164|13|43|0|130,1446730079.0
164|13|43|0|130,1446730079.35
164|13|43|0|130,1446730079.7
164|13|43|0|130,1446730080.06
164|13|43|0|130,1446730080.41
164|13|43|0|130,1446730080.76
164|13|43|0|130,1446730081.11
164|13|43|0|130,1446730081.46
167|202|50|59|100,1446730081.82
164|13|43|0|130,1446730082.17
164|13|43|0|130,1446730082.52
164|13|43|0|130,1446730082.87
,1446730083.2
164|13|43|0|130,1446730083.55
,1446730083.9
167|202|50|59|100,1446730084.25
180|183|142|185|52,1446730147.12
164|13|43|0|130,1446730191.73
164|13|43|0|130,1446730221.01
164|13|43|0|130,1446730231.1
164|13|43|0|130,1446730231.45
164|13|43|0|130,1446730231.8
164|13|43|0|130,1446730232.13
164|13|43|0|130,1446730232.48
164|13|43|0|130,1446730233.32
164|13|43|0|130,1446730233.67
164|13|43|0|130,1446730235.95
164|13|43|0|130,1446730236.31
164|13|43|0|130,1446730236.66
164|13|43|0|130,1446730248.54
164|13|43|0|130,1446730248.89
164|13|43|0|130,1446730249.25
